,发件人,发件时间,收件人,邮件
54.0,j8l3knjn@yahoo.com,2007-06-08  06:43:58,wgter3@yahoo.com,WASDRSyALpCEMCSwjJzVemRdLlIZjpkzwsNYDnqDPvpjQlLLueYGMvZFjQmuEErVfUGilZTwXrVkxUuzVTuNHaxVyvBgzXkZZCkZlmeAYZwAqnAfpaFMMlHSWZJgghcIiRUTCNWlmUaekgVELeAEEViACiTwsBLZUSiWSZdLQMvdawzdYnkVVcMBThyMhGljcvJtVwNKrrDIplQPbVsbBliJhQxTFCIcgtJbEMVBDDbomkCiVXpRugVVjhVLYcOBMOcRTlBiVAvTGJAIqZXQChDlZMCseZvLhMnvXNokWrBFSFfxcKVilLRQfRmYxufpKbzYdUVVlQpizauNcWrgMxCYoqxRHtvDVDxqEPQFfumxjFcZtgdFbDiDRgOvvifauqCWBkanyfaXmKTHKSbgJUnjnVXMficIuyoucdiAQGuodmoSSSoQTVBYFTpAKsklOmnvUTbbRnPjKNrTmVCZXKqlfuOaQtkbDDMQXralpVoArxlewzgBtZFrFXBiiYOBrwgfMJEbEhZoMiLZFjwwJgWsDhncFApotAuQTrxDMFKesonMeJdtFDaYeLQRhzmxaakjhrScVGQIKuuEOqLgWVKWSbhQRCmvOTObVrKrtfUvXkpUnBjDHuWIlCTxXvAeoFZrLfZvbEePuzNJLvVmPqQLiVLnRzVBOQtIiDtSunIxxLlexIzpfJBmNrBWxnXxGPcmBMfvHUDfiwmsvFDzTdVCljnoWrLIPXnUJOgWbWPgKQYugKzLDkvAUvblzZzGYnTEiyuTyvBAtKlIOBJaMWhkmjCRZEeuruVVelFSzabtdA
55.0,ak1vqhq@163.net,2006-10-18  07:42:58,s9zu6f@0355.net,【到账通知】恭喜您：获得200000元的信用提额体验金（免息+红包活动）
56.0,7jew5abb@gmail.com,2009-10-21  09:28:26,djoz93hdq@0355.net,
57.0,p6cueu9@qq.com,2016-11-18  12:46:03,vrq7mdunt@0355.net,恭喜你获得医用手套/>LOL手游预约随机光学薄膜/>英雄皮肤抽选
58.0,h3x7fx@126.com,2007-07-27  12:09:20,pk4qh9oqh@126.com,尊敬的xx校长：您好!首先感谢您在百忙之中阅读我的求职信。我叫xxx，女，今年22岁，是xx学院xx系xx专业的本科生，毕业在即，真诚的希望能够成为贵校的一员。大学四年，我以“严”字当头，在学习上勤奋严谨，不仅掌握了大量的专业理论知识和教学实践技能，并且在此基础上，不忘拓展自己的知识面。因为我知道在大学是学习与积累的过程。所以为了更好适应日后的工作，我还不断地充实自己，参加了大学英语等级考试，并顺利通过;努力学习计算机知识并且能够熟练的使用各种常用办公软件;参加韩语培训班，现在能够用简单的韩语与人交流;参加中学生心理健康c级培训并且顺利获得证书。同时，为了全面提升个人素质，我积极参加各种活动，积极参加学院组织的各项活动，参与了院广播台编辑工作，校园采访工作，并且被评委院的优秀新闻工作者;参加了系的辩论比赛，锻炼了自己的口才和逻辑能力，相信这些经历会给我在以后的教学工作有极大的帮助。“长风破浪会有时，直挂云帆济沧海”，希望贵校能给我一个发展的平台，我会好好珍惜它，并全力以赴，为实现自己的人生价值而奋斗，为贵校的发展贡献力量。感谢您在百忙之中读完我的求职简历，诚祝工作顺利!此致敬礼!求职人：xx
59.0,is58nh@live.com,2008-02-12  12:06:59,2cs3p3x04@yeah.net,您好，欢迎来到中国大学MOOC。这是一个由爱课程与云课堂携手打造的在线教育平台。在这里，您将获得：1.最好最全的大学课程39所985高校的顶级课程，上百位经验丰富的名师指导，名校体验由此开始。2.广泛认可的认证证书讲师签名证书，为您的职场增强战斗力，为您的生活提供新的可能性。3.丰富高效的学习体验简短视频、互动学习、社区交流让学习变得高效、富有乐趣。在线移动式学习，让您无论何时何地都能享受学习
60.0,d20a34d@live.com,2002-12-01  01:40:27,7v80un7@3721.net,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
61.0,uim06g37@163.com,2011-03-22  01:26:28,13fpl02r@aol.com,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
62.0,yztx97f@0355.net,2012-07-12  00:14:40,b1gdeak4e@aol.com,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
63.0,a93j284zn@yeah.net,2000-09-30  00:59:18,vji9iyvvl@yahoo.com.cn,WASDRSyALpCEMCSwjJzVemRdLlIZjpkzwsNYDnqDPvpjQlLLueYGMvZFjQmuEErVfUGilZTwXrVkxUuzVTuNHaxVyvBgzXkZZCkZlmeAYZwAqnAfpaFMMlHSWZJgghcIiRUTCNWlmUaekgVELeAEEViACiTwsBLZUSiWSZdLQMvdawzdYnkVVcMBThyMhGljcvJtVwNKrrDIplQPbVsbBliJhQxTFCIcgtJbEMVBDDbomkCiVXpRugVVjhVLYcOBMOcRTlBiVAvTGJAIqZXQChDlZMCseZvLhMnvXNokWrBFSFfxcKVilLRQfRmYxufpKbzYdUVVlQpizauNcWrgMxCYoqxRHtvDVDxqEPQFfumxjFcZtgdFbDiDRgOvvifauqCWBkanyfaXmKTHKSbgJUnjnVXMficIuyoucdiAQGuodmoSSSoQTVBYFTpAKsklOmnvUTbbRnPjKNrTmVCZXKqlfuOaQtkbDDMQXralpVoArxlewzgBtZFrFXBiiYOBrwgfMJEbEhZoMiLZFjwwJgWsDhncFApotAuQTrxDMFKesonMeJdtFDaYeLQRhzmxaakjhrScVGQIKuuEOqLgWVKWSbhQRCmvOTObVrKrtfUvXkpUnBjDHuWIlCTxXvAeoFZrLfZvbEePuzNJLvVmPqQLiVLnRzVBOQtIiDtSunIxxLlexIzpfJBmNrBWxnXxGPcmBMfvHUDfiwmsvFDzTdVCljnoWrLIPXnUJOgWbWPgKQYugKzLDkvAUvblzZzGYnTEiyuTyvBAtKlIOBJaMWhkmjCRZEeuruVVelFSzabtdA
64.0,,2004-09-02  08:50:56,jtawq9al@yahoo.com,金贵装饰周岁大酬宾优惠多多周岁来临我司感恩回馈新老顾客！公司店面全面升级装修即将拉开帷幕，为迎来我司美好的周岁生日，五一期间特作一下活动公告：1，金贵装饰携手格仕陶磁砖，法诺亚瓷砖，永虹陶瓷，昆明美格木门，江峰木地板举行优惠活动；2，活动时间一：2013年4月23日到5月7日，瓷砖折上折优惠；3，活动时间二：2013年5月1日到6月25日，主材8.5折优惠，直接费9.5折优惠；4，活动期间可享受同价位主材订购，装修同价位预定活动；预定期限为6个月；5，报名装修即送法诺亚卫浴砖一间；6，订购主材若选择我司装修免管理费；7，订购主材并预定装修免设计费及管理费；8，活动多多，详情欢迎进店咨询；友情提示：发展需要特聘：销售2名；设计师2名；监理2名；话务员2名！
65.0,,2009-11-08  17:21:22,37aw7e7jm@0355.net,恭喜你获得医用手套/>LOL手游预约随机光学薄膜/>英雄皮肤抽选
66.0,s9gxcr4u@263.net,2017-11-19  01:20:52,mkbhtby@gmail.com,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
67.0,,2010-12-26  14:19:35,z8zi5r@yahoo.com,您好，欢迎来到中国大学MOOC。这是一个由爱课程与云课堂携手打造的在线教育平台。在这里，您将获得：1.最好最全的大学课程39所985高校的顶级课程，上百位经验丰富的名师指导，名校体验由此开始。2.广泛认可的认证证书讲师签名证书，为您的职场增强战斗力，为您的生活提供新的可能性。3.丰富高效的学习体验简短视频、互动学习、社区交流让学习变得高效、富有乐趣。在线移动式学习，让您无论何时何地都能享受学习
68.0,,2017-04-23  08:50:02,nqbjgzq@163.com,恭喜你获得医用手套/>LOL手游预约随机光学薄膜/>英雄皮肤抽选
69.0,qmhznen86@ask.com,2014-05-13  08:59:14,v8xfoeb@hotmail.com,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
70.0,0blhcvlik@googlemail.com,2000-11-19  01:14:48,cdfj89p1p@sina.com,您好，欢迎来到中国大学MOOC。这是一个由爱课程与云课堂携手打造的在线教育平台。在这里，您将获得：1.最好最全的大学课程39所985高校的顶级课程，上百位经验丰富的名师指导，名校体验由此开始。2.广泛认可的认证证书讲师签名证书，为您的职场增强战斗力，为您的生活提供新的可能性。3.丰富高效的学习体验简短视频、互动学习、社区交流让学习变得高效、富有乐趣。在线移动式学习，让您无论何时何地都能享受学习
71.0,rfh0fch@263.net,2008-01-20  13:55:19,1tacas@qq.com,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
72.0,hwjrpmhw@163.com,2015-06-06  08:16:12,h9z1qn3@hotmail.com,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
73.0,t2giqd7@live.com,2008-03-24  12:16:06,2dmy448t@yeah.net,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
74.0,7v758prd@live.com,2016-11-28  05:18:01,oabtks@qq.com,恭喜你获得医用手套/>LOL手游预约随机光学薄膜/>英雄皮肤抽选
75.0,iru7qtucu@0355.net,2010-05-01  12:12:59,8jo611pmf@sina.com,尊敬的xx校长：您好!首先感谢您在百忙之中阅读我的求职信。我叫xxx，女，今年22岁，是xx学院xx系xx专业的本科生，毕业在即，真诚的希望能够成为贵校的一员。大学四年，我以“严”字当头，在学习上勤奋严谨，不仅掌握了大量的专业理论知识和教学实践技能，并且在此基础上，不忘拓展自己的知识面。因为我知道在大学是学习与积累的过程。所以为了更好适应日后的工作，我还不断地充实自己，参加了大学英语等级考试，并顺利通过;努力学习计算机知识并且能够熟练的使用各种常用办公软件;参加韩语培训班，现在能够用简单的韩语与人交流;参加中学生心理健康c级培训并且顺利获得证书。同时，为了全面提升个人素质，我积极参加各种活动，积极参加学院组织的各项活动，参与了院广播台编辑工作，校园采访工作，并且被评委院的优秀新闻工作者;参加了系的辩论比赛，锻炼了自己的口才和逻辑能力，相信这些经历会给我在以后的教学工作有极大的帮助。“长风破浪会有时，直挂云帆济沧海”，希望贵校能给我一个发展的平台，我会好好珍惜它，并全力以赴，为实现自己的人生价值而奋斗，为贵校的发展贡献力量。感谢您在百忙之中读完我的求职简历，诚祝工作顺利!此致敬礼!求职人：xx
76.0,yk6fmmp@msn.com,2011-09-29  00:10:24,ijuexdprb@aol.com,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
77.0,ku8anteeo@sina.com,,,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
78.0,a3jpprh@ask.com,2010-11-25  04:44:05,uico5bi@sohu.com,同学你好！为了提升MOOC课程教学质量，提高UOOC平台服务品质，让您今后能学习到更多优质的MOOC课程，特请您拨冗填写以下问卷。您的意见对我们非常重要。感谢您的支持！注：本次调查采用匿名形式
79.0,q8dak7j@aol.com,2003-03-17  03:33:35,vazqfa@live.com,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
80.0,wxgrlh@126.com,2014-06-30  17:32:25,02lfert@ask.com,您好，欢迎来到中国大学MOOC。这是一个由爱课程与云课堂携手打造的在线教育平台。在这里，您将获得：1.最好最全的大学课程39所985高校的顶级课程，上百位经验丰富的名师指导，名校体验由此开始。2.广泛认可的认证证书讲师签名证书，为您的职场增强战斗力，为您的生活提供新的可能性。3.丰富高效的学习体验简短视频、互动学习、社区交流让学习变得高效、富有乐趣。在线移动式学习，让您无论何时何地都能享受学习
81.0,s25nia0m@3721.net,2001-08-13  03:57:32,mw6c3ss@qq.com,【到账通知】恭喜您：获得200000元的信用提额体验金（免息+红包活动）
82.0,uxp699ho@0355.net,2004-12-16  17:08:45,hysc2xszg@0355.net,恭喜【/太/阳/城/集/团】嘉/宾
83.0,g8wf81@qq.com,2014-11-08  11:01:39,,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
84.0,hcduzab@live.com,2009-04-18  13:21:53,llhl964@yahoo.com,同学们，我们的课程线上考试已经结束。目前，全部试卷已经批改完毕。 如果大家对最后一道论述题的成绩还有什么问题，可以在个人中心，发短信联系负责批改试卷的王宇老师。时间我们将到6月26日晚8点截止，成绩一旦进入公示阶段，将无法再改，请大家认真核对。最后，本学期所有线上学习已经结束，感谢大家一学期的陪伴，再见。
85.0,ludtnya3f@yahoo.com.cn,2016-08-24  06:26:49,zmqt4vwl@3721.net,安利一波 萌妹变声器https://www.lanzous.com/b345306/ UU破解免登陆版：https://www.lanzous.com/b345302/ 雷神破解免登陆版：https://www.lanzous.com/b346064/ 腾讯加速器破解版：https://www.lanzous.com/b346077/
86.0,ez7mprnz6@gmail.com,2014-07-21  09:39:25,sd44rx9c9@sohu.com,本公司有部分普通发票（商品销售发票）增值税发票及海关代征增值税专用缴款书及其它服务行业发票
87.0,9ikdlt@live.com,2000-03-26  13:31:27,835oiqk@hotmail.com,同学你好！为了提升MOOC课程教学质量，提高UOOC平台服务品质，让您今后能学习到更多优质的MOOC课程，特请您拨冗填写以下问卷。您的意见对我们非常重要。感谢您的支持！注：本次调查采用匿名形式
88.0,t89lhj@yahoo.com.cn,2004-02-30  12:42:18,vo96m9@msn.com,本公司有部分普通发票（商品销售发票）增值税发票及海关代征增值税专用缴款书及其它服务行业发票
89.0,ga9ovuu@yeah.net,2003-09-18  01:32:48,cwe8y1d@qq.com,【到账通知】恭喜您：获得200000元的信用提额体验金（免息+红包活动）
90.0,msd66t8@qq.com,2003-02-09  06:04:11,yynrg2va@163.com,您好，欢迎来到中国大学MOOC。这是一个由爱课程与云课堂携手打造的在线教育平台。在这里，您将获得：1.最好最全的大学课程39所985高校的顶级课程，上百位经验丰富的名师指导，名校体验由此开始。2.广泛认可的认证证书讲师签名证书，为您的职场增强战斗力，为您的生活提供新的可能性。3.丰富高效的学习体验简短视频、互动学习、社区交流让学习变得高效、富有乐趣。在线移动式学习，让您无论何时何地都能享受学习
91.0,lllkq46@hotmail.com,2009-12-22  07:35:56,qvjcdc@gmail.com,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
92.0,4nkh8mda4@live.com,2004-07-17  10:45:59,bajb08xhs@yahoo.com,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
93.0,brb8pji1@qq.com,2001-05-29  04:34:14,14qb4ma1w@163.com,WASDRSyALpCEMCSwjJzVemRdLlIZjpkzwsNYDnqDPvpjQlLLueYGMvZFjQmuEErVfUGilZTwXrVkxUuzVTuNHaxVyvBgzXkZZCkZlmeAYZwAqnAfpaFMMlHSWZJgghcIiRUTCNWlmUaekgVELeAEEViACiTwsBLZUSiWSZdLQMvdawzdYnkVVcMBThyMhGljcvJtVwNKrrDIplQPbVsbBliJhQxTFCIcgtJbEMVBDDbomkCiVXpRugVVjhVLYcOBMOcRTlBiVAvTGJAIqZXQChDlZMCseZvLhMnvXNokWrBFSFfxcKVilLRQfRmYxufpKbzYdUVVlQpizauNcWrgMxCYoqxRHtvDVDxqEPQFfumxjFcZtgdFbDiDRgOvvifauqCWBkanyfaXmKTHKSbgJUnjnVXMficIuyoucdiAQGuodmoSSSoQTVBYFTpAKsklOmnvUTbbRnPjKNrTmVCZXKqlfuOaQtkbDDMQXralpVoArxlewzgBtZFrFXBiiYOBrwgfMJEbEhZoMiLZFjwwJgWsDhncFApotAuQTrxDMFKesonMeJdtFDaYeLQRhzmxaakjhrScVGQIKuuEOqLgWVKWSbhQRCmvOTObVrKrtfUvXkpUnBjDHuWIlCTxXvAeoFZrLfZvbEePuzNJLvVmPqQLiVLnRzVBOQtIiDtSunIxxLlexIzpfJBmNrBWxnXxGPcmBMfvHUDfiwmsvFDzTdVCljnoWrLIPXnUJOgWbWPgKQYugKzLDkvAUvblzZzGYnTEiyuTyvBAtKlIOBJaMWhkmjCRZEeuruVVelFSzabtdA
94.0,4ze5zj9dc@live.com,2005-06-05  05:56:49,bcgwcjud@163.net,【到账通知】恭喜您：获得200000元的信用提额体验金（免息+红包活动）
95.0,eqb15hg8@sohu.com,2006-04-17  15:40:04,td5tz0k@263.net,"尊敬的贵院领导：您好!首先，衷心感谢您能在百忙之中惠阅我的个人简历，为一位满腔热情的大学生开启一扇希望之门!我叫张利霞，是来自达州职业技术学院医学护理系2016届的一名应届毕业生。在即将走出大学校园的我，怀着对未来的美好憧憬和对贵院的无限向往，特向贵院呈上我的自荐书。我很平凡，但不甘于平庸，我乐观自信、上进心强、爱好广泛、为人和善，能够很好的处理人际关系，并且有很强的责任心和使命感。三年的刻苦努力学习和锻炼，使我树立了正确的人生观、价值观和不屈不挠的性格。在全面推行素质教育的今天，我也特别注重在认真学习好专业课的同时充分利用课余时间，拓展知识视野，完善知识结构，积极参加各项集体活动，得到了上级领导、老师及同学们的高度好评。从而，使自己各方面的综合素质能力也得到了相应的提高和完善。在竞争日益激烈的今天，我坚信只有多层次、全方位发展，并熟练掌握专业知识的人才，才符合社会发展的需要和用人单位的需求。我在遂宁市中心医院实习期间，跟随各科室老师的带领，认真学习，严格要求自己，理论联系实际，出色地完成了各科室应完成的任务。在此期间，得到了患者的信赖及带教老师的高度好评。同时深刻地体到会""爱心、细心、耐心和责任心""对患者的重要性，现在我对各科室的工作都有了一定经验，并从中学到了不少知识。"
96.0,qlyukm2x6@163.com,2014-03-28  20:24:45,ek8i99@263.net,您好，欢迎来到中国大学MOOC。这是一个由爱课程与云课堂携手打造的在线教育平台。在这里，您将获得：1.最好最全的大学课程39所985高校的顶级课程，上百位经验丰富的名师指导，名校体验由此开始。2.广泛认可的认证证书讲师签名证书，为您的职场增强战斗力，为您的生活提供新的可能性。3.丰富高效的学习体验简短视频、互动学习、社区交流让学习变得高效、富有乐趣。在线移动式学习，让您无论何时何地都能享受学习
97.0,a0o446t@aol.com,2015-08-28  07:59:09,5y251idxz@gmail.com,安利一波 萌妹变声器https://www.lanzous.com/b345306/ UU破解免登陆版：https://www.lanzous.com/b345302/ 雷神破解免登陆版：https://www.lanzous.com/b346064/ 腾讯加速器破解版：https://www.lanzous.com/b346077/
98.0,tioeuzx4r@ask.com,2015-11-02  09:29:28,udnpsv1me@aol.com,【到账通知】恭喜您：获得200000元的信用提额体验金（免息+红包活动）
